text,label_manual
Paketnya cukup jelek.,Negatif
Barang ini terlalu cepat.,Positif
Pelayanannya benar-benar original.,Positif
Pelayanannya benar-benar original.,Positif
Paketnya benar-benar buruk.,Negatif
Produknya cukup mengecewakan.,Negatif
Pengirimannya sangat rusak.,Negatif
Produknya agak oke.,Positif
Pengirimannya sangat kasar.,Negatif
Produknya terlalu original.,Positif
Pelayanannya agak jelek.,Negatif
Paketnya lumayan palsu.,Negatif
Bahannya benar-benar keren.,Positif
Produknya cukup cepat.,Positif
Pengirimannya agak palsu.,Negatif
Kualitasnya terlalu oke.,Positif
Produknya agak lambat.,Negatif
Barang ini benar-benar cepat.,Positif
Paketnya agak halus.,Positif
Barang ini lumayan cepat.,Positif
Paketnya benar-benar buruk.,Negatif
Pengirimannya benar-benar original.,Positif
Pelayanannya cukup penyok.,Negatif
Paketnya lumayan kasar.,Negatif
Barang ini benar-benar mengecewakan.,Negatif
Pengirimannya terlalu original.,Positif
Paketnya lumayan memuaskan.,Positif
Pengirimannya sangat oke.,Positif
Paketnya agak palsu.,Negatif
Pelayanannya cukup memuaskan.,Positif
Bahannya agak rapi.,Positif
Produknya benar-benar rapi.,Positif
Paketnya terlalu penyok.,Negatif
Produknya agak rapi.,Positif
Produknya benar-benar palsu.,Negatif
Paketnya benar-benar jelek.,Negatif
Pelayanannya lumayan memuaskan.,Positif
Kualitasnya cukup oke.,Positif
Barang ini benar-benar rapi.,Positif
Paketnya benar-benar lambat.,Negatif
Pengirimannya cukup penyok.,Negatif
Paketnya terlalu rusak.,Negatif
Produknya benar-benar oke.,Positif
Pelayanannya cukup palsu.,Negatif
Pelayanannya terlalu keren.,Positif
Produknya cukup rusak.,Negatif
Pengirimannya benar-benar memuaskan.,Positif
Barang ini lumayan oke.,Positif
Bahannya lumayan rusak.,Negatif
Barang ini cukup memuaskan.,Positif
Barang ini terlalu penyok.,Negatif
Bahannya lumayan rusak.,Negatif
Pengirimannya sangat buruk.,Negatif
Pengirimannya cukup mengecewakan.,Negatif
Kualitasnya sangat mantap.,Positif
Pengirimannya agak lambat.,Negatif
Barang ini lumayan palsu.,Negatif
Pengirimannya lumayan mantap.,Positif
Bahannya agak mantap.,Positif
Pelayanannya benar-benar jelek.,Negatif
Kualitasnya benar-benar lambat.,Negatif
Pelayanannya sangat rusak.,Negatif
Paketnya lumayan buruk.,Negatif
Bahannya lumayan penyok.,Negatif
Kualitasnya lumayan cepat.,Positif
Pelayanannya terlalu buruk.,Negatif
Bahannya sangat lambat.,Negatif
Barang ini terlalu original.,Positif
Paketnya terlalu rapi.,Positif
Kualitasnya cukup lambat.,Negatif
Pelayanannya sangat original.,Positif
Produknya cukup mantap.,Positif
Pelayanannya agak memuaskan.,Positif
Bahannya terlalu cepat.,Positif
Bahannya benar-benar halus.,Positif
Produknya agak mengecewakan.,Negatif
Barang ini sangat original.,Positif
Pelayanannya cukup rusak.,Negatif
Paketnya terlalu mantap.,Positif
Paketnya benar-benar cepat.,Positif
Bahannya terlalu kasar.,Negatif
Paketnya agak original.,Positif
Barang ini sangat rusak.,Negatif
Kualitasnya lumayan rapi.,Positif
Pelayanannya cukup lambat.,Negatif
Bahannya terlalu jelek.,Negatif
Produknya lumayan lambat.,Negatif
Kualitasnya lumayan lambat.,Negatif
Pengirimannya lumayan halus.,Positif
Pengirimannya benar-benar rusak.,Negatif
Pelayanannya cukup keren.,Positif
Kualitasnya terlalu palsu.,Negatif
Pengirimannya cukup mengecewakan.,Negatif
Kualitasnya agak keren.,Positif
Pelayanannya lumayan mengecewakan.,Negatif
Barang ini terlalu keren.,Positif
Bahannya terlalu cepat.,Positif
Bahannya terlalu original.,Positif
Pengirimannya cukup original.,Positif
Paketnya benar-benar mantap.,Positif
Barang ini benar-benar kasar.,Negatif
Paketnya terlalu kasar.,Negatif
Kualitasnya agak lambat.,Negatif
Produknya benar-benar mantap.,Positif
Barang ini benar-benar buruk.,Negatif
Barang ini sangat oke.,Positif
Pelayanannya terlalu kasar.,Negatif
Kualitasnya cukup buruk.,Negatif
Bahannya agak bagus.,Positif
Paketnya sangat halus.,Positif
Kualitasnya terlalu mengecewakan.,Negatif
Barang ini benar-benar kasar.,Negatif
Pengirimannya agak lambat.,Negatif
Bahannya benar-benar cepat.,Positif
Pelayanannya benar-benar cepat.,Positif
Pelayanannya agak mengecewakan.,Negatif
Kualitasnya benar-benar penyok.,Negatif
Produknya sangat original.,Positif
Kualitasnya benar-benar kasar.,Negatif
Paketnya terlalu cepat.,Positif
Kualitasnya sangat keren.,Positif
Pelayanannya terlalu rapi.,Positif
Pengirimannya terlalu memuaskan.,Positif
Pengirimannya terlalu mengecewakan.,Negatif
Barang ini agak rusak.,Negatif
Pelayanannya agak jelek.,Negatif
Barang ini lumayan keren.,Positif
Pengirimannya lumayan rusak.,Negatif
Pengirimannya benar-benar mengecewakan.,Negatif
Pengirimannya benar-benar oke.,Positif
Bahannya lumayan jelek.,Negatif
Produknya agak lambat.,Negatif
Kualitasnya lumayan rusak.,Negatif
Pengirimannya terlalu bagus.,Positif
Bahannya cukup buruk.,Negatif
Pengirimannya terlalu mengecewakan.,Negatif
Produknya benar-benar rapi.,Positif
Bahannya agak buruk.,Negatif
Produknya terlalu halus.,Positif
Kualitasnya benar-benar mantap.,Positif
Barang ini lumayan cepat.,Positif
Kualitasnya agak kasar.,Negatif
Barang ini cukup bagus.,Positif
Kualitasnya cukup rapi.,Positif
Pengirimannya cukup oke.,Positif
Bahannya terlalu lambat.,Negatif
Produknya terlalu palsu.,Negatif
Produknya sangat oke.,Positif
Pelayanannya lumayan kasar.,Negatif
Pengirimannya sangat rusak.,Negatif
Pengirimannya terlalu buruk.,Negatif
Barang ini terlalu palsu.,Negatif
Pengirimannya sangat lambat.,Negatif
Produknya terlalu lambat.,Negatif
Kualitasnya lumayan cepat.,Positif
Pengirimannya terlalu kasar.,Negatif
Bahannya lumayan penyok.,Negatif
Barang ini terlalu original.,Positif
Pelayanannya terlalu original.,Positif
Bahannya sangat jelek.,Negatif
Barang ini lumayan penyok.,Negatif
Pelayanannya benar-benar mengecewakan.,Negatif
Kualitasnya sangat memuaskan.,Positif
Barang ini sangat cepat.,Positif
Pelayanannya benar-benar kasar.,Negatif
Kualitasnya lumayan bagus.,Positif
Kualitasnya terlalu lambat.,Negatif
Pelayanannya cukup original.,Positif
Pengirimannya sangat lambat.,Negatif
Pelayanannya sangat keren.,Positif
Bahannya agak original.,Positif
Paketnya sangat buruk.,Negatif
Pelayanannya benar-benar mantap.,Positif
Bahannya terlalu mantap.,Positif
Bahannya lumayan buruk.,Negatif
Produknya lumayan keren.,Positif
Pengirimannya terlalu memuaskan.,Positif
Barang ini cukup buruk.,Negatif
Kualitasnya agak penyok.,Negatif
Pengirimannya terlalu rapi.,Positif
Produknya terlalu jelek.,Negatif
Barang ini terlalu mengecewakan.,Negatif
Paketnya terlalu oke.,Positif
Paketnya terlalu bagus.,Positif
Bahannya terlalu oke.,Positif
Kualitasnya sangat mantap.,Positif
Barang ini agak rapi.,Positif
Pengirimannya benar-benar original.,Positif
Kualitasnya terlalu halus.,Positif
Pengirimannya cukup keren.,Positif
Kualitasnya benar-benar lambat.,Negatif
Bahannya lumayan oke.,Positif
Kualitasnya benar-benar cepat.,Positif
Pengirimannya agak buruk.,Negatif
Pelayanannya terlalu memuaskan.,Positif
Pengirimannya terlalu mantap.,Positif
Pelayanannya lumayan palsu.,Negatif
Produknya lumayan mantap.,Positif
Produknya benar-benar cepat.,Positif
Paketnya cukup halus.,Positif
Kualitasnya lumayan rusak.,Negatif
Barang ini benar-benar bagus.,Positif
Bahannya benar-benar halus.,Positif
Barang ini terlalu penyok.,Negatif
Bahannya terlalu mengecewakan.,Negatif
Paketnya cukup memuaskan.,Positif
Pelayanannya sangat bagus.,Positif
Pengirimannya benar-benar rusak.,Negatif
Paketnya benar-benar palsu.,Negatif
Bahannya sangat bagus.,Positif
Paketnya cukup keren.,Positif
Bahannya agak rusak.,Negatif
Barang ini agak mantap.,Positif
Pelayanannya agak bagus.,Positif
Bahannya cukup cepat.,Positif
Kualitasnya terlalu kasar.,Negatif
Pelayanannya agak kasar.,Negatif
Paketnya agak oke.,Positif
Kualitasnya benar-benar rusak.,Negatif
Bahannya benar-benar rapi.,Positif
Paketnya sangat cepat.,Positif
Bahannya benar-benar mengecewakan.,Negatif
Kualitasnya benar-benar lambat.,Negatif
Paketnya sangat palsu.,Negatif
Barang ini agak cepat.,Positif
Bahannya benar-benar penyok.,Negatif
Barang ini cukup oke.,Positif
Pelayanannya agak jelek.,Negatif
Pengirimannya benar-benar original.,Positif
Barang ini benar-benar jelek.,Negatif
Barang ini terlalu cepat.,Positif
Produknya sangat keren.,Positif
Barang ini benar-benar bagus.,Positif
Paketnya terlalu keren.,Positif
Kualitasnya agak kasar.,Negatif
Paketnya benar-benar jelek.,Negatif
Pengirimannya cukup oke.,Positif
Paketnya sangat mantap.,Positif
Barang ini benar-benar original.,Positif
Pengirimannya cukup halus.,Positif
Barang ini terlalu keren.,Positif
Bahannya agak mengecewakan.,Negatif
Bahannya lumayan oke.,Positif
Barang ini sangat rusak.,Negatif
Bahannya benar-benar rapi.,Positif
Pelayanannya agak halus.,Positif
Bahannya benar-benar jelek.,Negatif
Barang ini terlalu rusak.,Negatif
Produknya benar-benar jelek.,Negatif
Bahannya sangat bagus.,Positif
Produknya cukup rusak.,Negatif
Kualitasnya sangat buruk.,Negatif
Barang ini agak buruk.,Negatif
Kualitasnya benar-benar mengecewakan.,Negatif
Barang ini agak jelek.,Negatif
Paketnya cukup palsu.,Negatif
Barang ini cukup mantap.,Positif
Kualitasnya sangat buruk.,Negatif
Barang ini terlalu keren.,Positif
Kualitasnya cukup bagus.,Positif
Barang ini lumayan oke.,Positif
Pelayanannya terlalu original.,Positif
Paketnya cukup kasar.,Negatif
Pelayanannya lumayan memuaskan.,Positif
Pelayanannya lumayan penyok.,Negatif
Bahannya benar-benar oke.,Positif
Pelayanannya cukup memuaskan.,Positif
Pengirimannya cukup mengecewakan.,Negatif
Kualitasnya sangat original.,Positif
Pengirimannya sangat cepat.,Positif
Paketnya cukup penyok.,Negatif
Pengirimannya cukup rapi.,Positif
Pelayanannya agak memuaskan.,Positif
Paketnya terlalu rusak.,Negatif
Produknya cukup lambat.,Negatif
Kualitasnya agak palsu.,Negatif
Pengirimannya agak kasar.,Negatif
Paketnya agak mantap.,Positif
Pelayanannya agak buruk.,Negatif
Kualitasnya terlalu memuaskan.,Positif
Barang ini terlalu rapi.,Positif
Kualitasnya sangat jelek.,Negatif
Produknya lumayan memuaskan.,Positif
Produknya lumayan buruk.,Negatif
Pelayanannya cukup kasar.,Negatif
Paketnya terlalu halus.,Positif
Pelayanannya sangat kasar.,Negatif
Paketnya lumayan mantap.,Positif
Barang ini terlalu keren.,Positif
Barang ini agak halus.,Positif
Barang ini lumayan palsu.,Negatif
Produknya cukup palsu.,Negatif
Produknya cukup mantap.,Positif
Pengirimannya benar-benar bagus.,Positif
Pelayanannya terlalu memuaskan.,Positif
Produknya terlalu mantap.,Positif
Pelayanannya terlalu penyok.,Negatif
Paketnya benar-benar bagus.,Positif
Kualitasnya lumayan mengecewakan.,Negatif
Paketnya sangat rapi.,Positif
Pengirimannya cukup palsu.,Negatif
Pengirimannya benar-benar original.,Positif
Pelayanannya lumayan cepat.,Positif
Bahannya agak mengecewakan.,Negatif
Produknya benar-benar mantap.,Positif
Pelayanannya cukup mengecewakan.,Negatif
Bahannya terlalu keren.,Positif
Paketnya cukup bagus.,Positif
Produknya cukup mantap.,Positif
Bahannya terlalu lambat.,Negatif
Pelayanannya lumayan mengecewakan.,Negatif
Produknya cukup buruk.,Negatif
Bahannya lumayan bagus.,Positif
Pelayanannya cukup oke.,Positif
Kualitasnya benar-benar rapi.,Positif
Pelayanannya benar-benar jelek.,Negatif
Bahannya terlalu jelek.,Negatif
Kualitasnya agak mengecewakan.,Negatif
Kualitasnya benar-benar original.,Positif
Pelayanannya cukup kasar.,Negatif
Kualitasnya sangat cepat.,Positif
Barang ini agak lambat.,Negatif
Barang ini lumayan rapi.,Positif
Paketnya sangat rapi.,Positif
Pengirimannya terlalu oke.,Positif
Bahannya lumayan halus.,Positif
Paketnya benar-benar bagus.,Positif
Pelayanannya cukup mengecewakan.,Negatif
Paketnya sangat halus.,Positif
Bahannya sangat palsu.,Negatif
Pengirimannya agak rusak.,Negatif
Paketnya cukup mantap.,Positif
Paketnya benar-benar original.,Positif
Paketnya sangat palsu.,Negatif
Paketnya lumayan cepat.,Positif
Kualitasnya cukup mengecewakan.,Negatif
Produknya sangat oke.,Positif
Paketnya terlalu buruk.,Negatif
Paketnya terlalu mantap.,Positif
Kualitasnya sangat buruk.,Negatif
Paketnya benar-benar memuaskan.,Positif
Kualitasnya benar-benar oke.,Positif
Produknya sangat kasar.,Negatif
Pelayanannya lumayan rapi.,Positif
Paketnya benar-benar kasar.,Negatif
Pengirimannya lumayan rusak.,Negatif
Bahannya benar-benar keren.,Positif
Pelayanannya sangat halus.,Positif
Pengirimannya cukup rusak.,Negatif
Produknya lumayan oke.,Positif
Bahannya benar-benar lambat.,Negatif
Paketnya sangat mengecewakan.,Negatif
Bahannya terlalu rusak.,Negatif
Barang ini sangat keren.,Positif
Produknya lumayan mengecewakan.,Negatif
Kualitasnya sangat rapi.,Positif
Barang ini benar-benar halus.,Positif
Barang ini lumayan bagus.,Positif
Produknya terlalu cepat.,Positif
Bahannya sangat rusak.,Negatif
Pelayanannya agak memuaskan.,Positif
Pengirimannya sangat mantap.,Positif
Bahannya lumayan penyok.,Negatif
Pengirimannya terlalu rapi.,Positif
Kualitasnya cukup oke.,Positif
Bahannya cukup mengecewakan.,Negatif
Produknya sangat buruk.,Negatif
Pengirimannya benar-benar halus.,Positif
Produknya benar-benar bagus.,Positif
Bahannya benar-benar mengecewakan.,Negatif
Kualitasnya cukup penyok.,Negatif
Pengirimannya cukup rapi.,Positif
Paketnya cukup rapi.,Positif
Paketnya benar-benar rusak.,Negatif
Kualitasnya cukup halus.,Positif
Kualitasnya lumayan rusak.,Negatif
Produknya agak keren.,Positif
Produknya agak kasar.,Negatif
Kualitasnya lumayan mantap.,Positif
Pelayanannya agak kasar.,Negatif
Pelayanannya lumayan lambat.,Negatif
Paketnya lumayan kasar.,Negatif
Bahannya agak penyok.,Negatif
Kualitasnya lumayan bagus.,Positif
Bahannya cukup memuaskan.,Positif
Kualitasnya lumayan mengecewakan.,Negatif
Pengirimannya terlalu original.,Positif
Barang ini agak penyok.,Negatif
Barang ini lumayan memuaskan.,Positif
Paketnya lumayan lambat.,Negatif
Produknya sangat kasar.,Negatif
Pengirimannya agak penyok.,Negatif
Pengirimannya agak original.,Positif
Paketnya benar-benar jelek.,Negatif
Barang ini benar-benar palsu.,Negatif
Pengirimannya agak jelek.,Negatif
Barang ini sangat rapi.,Positif
Pengirimannya lumayan mengecewakan.,Negatif
Produknya agak buruk.,Negatif
Kualitasnya benar-benar mengecewakan.,Negatif
Pelayanannya agak penyok.,Negatif
Barang ini lumayan palsu.,Negatif
Bahannya terlalu jelek.,Negatif
Paketnya terlalu memuaskan.,Positif
Pengirimannya cukup lambat.,Negatif
Barang ini benar-benar mengecewakan.,Negatif
Paketnya benar-benar buruk.,Negatif
Pelayanannya agak buruk.,Negatif
Bahannya sangat mengecewakan.,Negatif
Kualitasnya benar-benar cepat.,Positif
Produknya agak lambat.,Negatif
Paketnya benar-benar jelek.,Negatif
Produknya cukup rusak.,Negatif
Pengirimannya lumayan palsu.,Negatif
Barang ini lumayan keren.,Positif
Produknya sangat mengecewakan.,Negatif
Produknya agak mantap.,Positif
Bahannya agak kasar.,Negatif
Bahannya cukup original.,Positif
Produknya agak halus.,Positif
Bahannya agak rapi.,Positif
Paketnya lumayan oke.,Positif
Barang ini terlalu lambat.,Negatif
Produknya terlalu penyok.,Negatif
Pelayanannya benar-benar halus.,Positif
Paketnya sangat keren.,Positif
Barang ini benar-benar rusak.,Negatif
Pelayanannya sangat penyok.,Negatif
Barang ini lumayan halus.,Positif
Bahannya terlalu oke.,Positif
Bahannya benar-benar original.,Positif
Kualitasnya benar-benar keren.,Positif
Paketnya cukup oke.,Positif
Bahannya benar-benar memuaskan.,Positif
Bahannya agak mengecewakan.,Negatif
Pengirimannya cukup mengecewakan.,Negatif
Pengirimannya terlalu mengecewakan.,Negatif
Bahannya lumayan palsu.,Negatif
Pelayanannya agak penyok.,Negatif
Produknya cukup memuaskan.,Positif
Pelayanannya sangat palsu.,Negatif
Barang ini agak rapi.,Positif
Pelayanannya cukup mengecewakan.,Negatif
Pelayanannya agak oke.,Positif
Pengirimannya terlalu oke.,Positif
Pelayanannya agak palsu.,Negatif
Pelayanannya sangat halus.,Positif
Produknya terlalu jelek.,Negatif
Paketnya cukup jelek.,Negatif
Produknya terlalu bagus.,Positif
Kualitasnya agak jelek.,Negatif
Pengirimannya sangat cepat.,Positif
Barang ini lumayan rusak.,Negatif
Pengirimannya terlalu mengecewakan.,Negatif
Paketnya benar-benar rusak.,Negatif
Kualitasnya agak halus.,Positif
Kualitasnya agak buruk.,Negatif
Produknya cukup memuaskan.,Positif
Kualitasnya lumayan rusak.,Negatif
Pengirimannya cukup oke.,Positif
Kualitasnya terlalu rapi.,Positif
Pengirimannya agak buruk.,Negatif
Pelayanannya sangat jelek.,Negatif
Produknya terlalu lambat.,Negatif
Paketnya lumayan keren.,Positif
Pelayanannya benar-benar penyok.,Negatif
Kualitasnya sangat penyok.,Negatif
Barang ini sangat rapi.,Positif
Bahannya terlalu jelek.,Negatif
Bahannya sangat lambat.,Negatif
Paketnya cukup jelek.,Negatif
Bahannya lumayan jelek.,Negatif
Pelayanannya terlalu mengecewakan.,Negatif
Kualitasnya agak lambat.,Negatif
Produknya sangat rusak.,Negatif
Pelayanannya cukup oke.,Positif
Produknya cukup penyok.,Negatif
Pelayanannya lumayan oke.,Positif
Barang ini lumayan mantap.,Positif
Bahannya benar-benar oke.,Positif
Bahannya terlalu halus.,Positif
Pengirimannya sangat rapi.,Positif
Pelayanannya lumayan rapi.,Positif
Bahannya lumayan memuaskan.,Positif
Pengirimannya sangat rapi.,Positif
Barang ini agak oke.,Positif
Bahannya terlalu halus.,Positif
Paketnya terlalu buruk.,Negatif
Paketnya sangat halus.,Positif
Kualitasnya cukup rapi.,Positif
Kualitasnya sangat oke.,Positif
Kualitasnya sangat jelek.,Negatif
Pelayanannya benar-benar halus.,Positif
Pengirimannya sangat rusak.,Negatif
Pelayanannya agak buruk.,Negatif
Produknya agak memuaskan.,Positif
Kualitasnya agak penyok.,Negatif
Pengirimannya cukup cepat.,Positif
Kualitasnya agak bagus.,Positif
Kualitasnya sangat keren.,Positif
Kualitasnya lumayan buruk.,Negatif
Kualitasnya benar-benar memuaskan.,Positif
Pengirimannya sangat original.,Positif
Kualitasnya cukup mantap.,Positif
Pelayanannya cukup memuaskan.,Positif
Kualitasnya cukup halus.,Positif
Pengirimannya lumayan halus.,Positif
Kualitasnya benar-benar mengecewakan.,Negatif
Kualitasnya lumayan palsu.,Negatif
Barang ini agak original.,Positif
Produknya lumayan palsu.,Negatif
Produknya terlalu cepat.,Positif
Barang ini agak rapi.,Positif
Kualitasnya cukup rusak.,Negatif
Barang ini lumayan rusak.,Negatif
Kualitasnya cukup penyok.,Negatif
Barang ini cukup palsu.,Negatif
Pengirimannya agak rapi.,Positif
Pelayanannya terlalu lambat.,Negatif
Paketnya lumayan mengecewakan.,Negatif
Paketnya benar-benar lambat.,Negatif
Barang ini agak memuaskan.,Positif
Barang ini agak cepat.,Positif
Barang ini terlalu oke.,Positif
Pelayanannya agak lambat.,Negatif
Produknya lumayan bagus.,Positif
Pelayanannya benar-benar buruk.,Negatif
Paketnya sangat cepat.,Positif
Kualitasnya benar-benar rapi.,Positif
Pengirimannya terlalu mengecewakan.,Negatif
Bahannya agak jelek.,Negatif
Pengirimannya sangat jelek.,Negatif
Barang ini cukup palsu.,Negatif
Pelayanannya terlalu halus.,Positif
Pengirimannya cukup mantap.,Positif
Barang ini terlalu memuaskan.,Positif
Kualitasnya lumayan oke.,Positif
Bahannya cukup jelek.,Negatif
Pengirimannya benar-benar rapi.,Positif
Bahannya cukup palsu.,Negatif
Barang ini sangat lambat.,Negatif
Kualitasnya agak kasar.,Negatif
Paketnya benar-benar rusak.,Negatif
Barang ini sangat kasar.,Negatif
Pengirimannya sangat mantap.,Positif
Kualitasnya lumayan rusak.,Negatif
Pelayanannya agak mantap.,Positif
Kualitasnya benar-benar original.,Positif
Paketnya terlalu jelek.,Negatif
Pengirimannya sangat mantap.,Positif
Pengirimannya terlalu palsu.,Negatif
Produknya agak lambat.,Negatif
Kualitasnya cukup mantap.,Positif
Paketnya terlalu buruk.,Negatif
Bahannya benar-benar penyok.,Negatif
Bahannya lumayan jelek.,Negatif
Paketnya sangat penyok.,Negatif
Pelayanannya agak oke.,Positif
Pelayanannya agak original.,Positif
Produknya cukup kasar.,Negatif
Pelayanannya cukup cepat.,Positif
Paketnya agak memuaskan.,Positif
Paketnya lumayan mantap.,Positif
Bahannya lumayan penyok.,Negatif
Pelayanannya benar-benar halus.,Positif
Pelayanannya cukup buruk.,Negatif
Kualitasnya cukup mantap.,Positif
Pengirimannya benar-benar halus.,Positif
Barang ini benar-benar mantap.,Positif
Barang ini lumayan cepat.,Positif
Paketnya cukup original.,Positif
Barang ini cukup original.,Positif
Pelayanannya cukup kasar.,Negatif
Pengirimannya lumayan buruk.,Negatif
Barang ini sangat keren.,Positif
Barang ini terlalu kasar.,Negatif
Paketnya sangat rusak.,Negatif
Kualitasnya cukup kasar.,Negatif
Pengirimannya cukup rusak.,Negatif
Pelayanannya benar-benar halus.,Positif
Paketnya lumayan halus.,Positif
Pelayanannya cukup lambat.,Negatif
Bahannya terlalu keren.,Positif
Paketnya cukup penyok.,Negatif
Pelayanannya benar-benar rapi.,Positif
Barang ini benar-benar penyok.,Negatif
Barang ini sangat palsu.,Negatif
Paketnya lumayan oke.,Positif
Pengirimannya terlalu buruk.,Negatif
Paketnya sangat buruk.,Negatif
Paketnya lumayan mantap.,Positif
Pengirimannya terlalu keren.,Positif
Bahannya terlalu oke.,Positif
Pelayanannya cukup lambat.,Negatif
Kualitasnya agak lambat.,Negatif
Kualitasnya agak kasar.,Negatif
Paketnya lumayan penyok.,Negatif
Bahannya lumayan oke.,Positif
Barang ini agak oke.,Positif
Bahannya benar-benar palsu.,Negatif
Bahannya agak palsu.,Negatif
Pelayanannya agak bagus.,Positif
Bahannya cukup halus.,Positif
Pelayanannya sangat rapi.,Positif
Pelayanannya lumayan halus.,Positif
Pelayanannya lumayan kasar.,Negatif
Kualitasnya agak cepat.,Positif
Kualitasnya benar-benar original.,Positif
Kualitasnya sangat oke.,Positif
Bahannya terlalu halus.,Positif
Pengirimannya benar-benar kasar.,Negatif
Pengirimannya sangat penyok.,Negatif
Kualitasnya lumayan rusak.,Negatif
Kualitasnya agak bagus.,Positif
Pengirimannya agak buruk.,Negatif
Pelayanannya terlalu rapi.,Positif
Produknya agak lambat.,Negatif
Pengirimannya cukup original.,Positif
Paketnya cukup bagus.,Positif
Bahannya benar-benar cepat.,Positif
Paketnya cukup halus.,Positif
Kualitasnya benar-benar rapi.,Positif
Pelayanannya cukup halus.,Positif
Produknya cukup rapi.,Positif
Pengirimannya terlalu oke.,Positif
Barang ini cukup mengecewakan.,Negatif
Produknya cukup buruk.,Negatif
Pengirimannya benar-benar mengecewakan.,Negatif
Produknya cukup rusak.,Negatif
Produknya terlalu lambat.,Negatif
Kualitasnya agak buruk.,Negatif
Pengirimannya lumayan memuaskan.,Positif
Pengirimannya benar-benar jelek.,Negatif
Bahannya lumayan keren.,Positif
Barang ini benar-benar bagus.,Positif
Barang ini agak rapi.,Positif
Pelayanannya cukup rusak.,Negatif
Pengirimannya lumayan keren.,Positif
Pelayanannya agak halus.,Positif
Pelayanannya cukup halus.,Positif
Produknya cukup palsu.,Negatif
Pelayanannya sangat kasar.,Negatif
Paketnya benar-benar mantap.,Positif
Produknya cukup palsu.,Negatif
Kualitasnya sangat original.,Positif
Bahannya cukup buruk.,Negatif
Kualitasnya sangat lambat.,Negatif
Kualitasnya sangat oke.,Positif
Pengirimannya terlalu buruk.,Negatif
Pengirimannya lumayan buruk.,Negatif
Paketnya sangat palsu.,Negatif
Paketnya lumayan original.,Positif
Produknya benar-benar rapi.,Positif
Pengirimannya benar-benar penyok.,Negatif
Pengirimannya sangat palsu.,Negatif
Produknya cukup mantap.,Positif
Barang ini lumayan halus.,Positif
Kualitasnya cukup mantap.,Positif
Paketnya lumayan halus.,Positif
Pengirimannya terlalu memuaskan.,Positif
Barang ini sangat kasar.,Negatif
Pelayanannya cukup bagus.,Positif
Barang ini lumayan cepat.,Positif
Pelayanannya benar-benar keren.,Positif
Pelayanannya sangat mantap.,Positif
Paketnya sangat lambat.,Negatif
Produknya lumayan memuaskan.,Positif
Pelayanannya cukup kasar.,Negatif
Paketnya terlalu buruk.,Negatif
Paketnya benar-benar cepat.,Positif
Kualitasnya terlalu halus.,Positif
Pengirimannya lumayan mengecewakan.,Negatif
Pelayanannya agak kasar.,Negatif
Barang ini cukup kasar.,Negatif
Kualitasnya agak penyok.,Negatif
Paketnya lumayan lambat.,Negatif
Kualitasnya benar-benar buruk.,Negatif
Barang ini sangat rapi.,Positif
Bahannya benar-benar bagus.,Positif
Pengirimannya agak cepat.,Positif
Kualitasnya cukup palsu.,Negatif
Kualitasnya agak cepat.,Positif
Paketnya sangat oke.,Positif
Barang ini lumayan cepat.,Positif
Pengirimannya terlalu mengecewakan.,Negatif
Barang ini benar-benar original.,Positif
Pelayanannya agak kasar.,Negatif
Bahannya terlalu mengecewakan.,Negatif
Paketnya cukup mengecewakan.,Negatif
Produknya cukup jelek.,Negatif
Produknya agak rapi.,Positif
Paketnya lumayan penyok.,Negatif
Paketnya benar-benar penyok.,Negatif
Bahannya agak halus.,Positif
Paketnya sangat halus.,Positif
Pelayanannya sangat mantap.,Positif
Paketnya lumayan buruk.,Negatif
Kualitasnya agak penyok.,Negatif
Paketnya terlalu palsu.,Negatif
Pelayanannya agak cepat.,Positif
Barang ini agak halus.,Positif
Paketnya terlalu oke.,Positif
Pengirimannya terlalu memuaskan.,Positif
Paketnya agak kasar.,Negatif
Pelayanannya lumayan memuaskan.,Positif
Produknya cukup oke.,Positif
Bahannya terlalu jelek.,Negatif
Bahannya terlalu bagus.,Positif
Pengirimannya benar-benar oke.,Positif
Barang ini sangat lambat.,Negatif
Kualitasnya terlalu rapi.,Positif
Paketnya agak penyok.,Negatif
Paketnya terlalu kasar.,Negatif
Pelayanannya terlalu lambat.,Negatif
Bahannya agak buruk.,Negatif
Paketnya agak rusak.,Negatif
Barang ini benar-benar rusak.,Negatif
Pengirimannya sangat buruk.,Negatif
Barang ini lumayan original.,Positif
Barang ini agak lambat.,Negatif
Produknya cukup memuaskan.,Positif
Produknya agak rusak.,Negatif
Pelayanannya agak palsu.,Negatif
Kualitasnya lumayan buruk.,Negatif
Paketnya sangat palsu.,Negatif
Bahannya agak jelek.,Negatif
Pelayanannya sangat kasar.,Negatif
Produknya lumayan penyok.,Negatif
Kualitasnya terlalu halus.,Positif
Produknya agak jelek.,Negatif
Produknya benar-benar mantap.,Positif
Pengirimannya agak bagus.,Positif
Paketnya cukup palsu.,Negatif
Kualitasnya lumayan memuaskan.,Positif
Bahannya terlalu lambat.,Negatif
Paketnya agak palsu.,Negatif
Bahannya sangat rapi.,Positif
Produknya benar-benar original.,Positif
Paketnya cukup palsu.,Negatif
Kualitasnya sangat mengecewakan.,Negatif
Produknya agak mantap.,Positif
Produknya sangat mantap.,Positif
Bahannya cukup penyok.,Negatif
